GameID,Name,Genre,ReleaseDate,Description,LanguageSupport,UnitsSold,Tags,RequireAge
28,Call of Duty: Ghosts,Shooter,2013-11-5,"""Join an elite group of soldiers known as the Ghosts as they battle against a mysterious enemy known as the Federation. Engage in intense first-person shooter combat across a variety of locations in this thrilling installment of the Call of Duty franchise.""","Chinese, English, French, German, Japanese, Korean",345,"Roguelike, Platformer, Casual, Adventure",16
29,Call of Duty: Infinite Warfare,Shooter,2016-11-4,"Join the fight in Call of Duty: Infinite Warfare, a first-person shooter set in space. Engage in intense battles, customize your weapons, and experience a gripping single-player campaign. Dominate the competition in multiplayer modes and test your skills in the thrilling Zombies mode.","Chinese, English, French, German, Japanese, Korean, Spanish",402,"Visual Novel, Turn-based Combat, Open World, Puzzle",18
30,Call of Duty: Modern Warfare 2,Shooter,2009-11-10,"""Join Task Force 141 in a global war against terrorism in 'Call of Duty: Modern Warfare 2'. Engage in intense combat missions across various locations and experience thrilling multiplayer battles. Equip advanced weaponry and tactics to complete high-stakes missions and save the world.""","Chinese, English, German",1240,"Story Rich, Car Simulation, Survival, Co-op, Visual Novel",16
31,Call of Duty: Modern Warfare 3,Shooter,2011-11-8,"Engage in intense, fast-paced combat across various global locations in 'Call of Duty: Modern Warfare 3'. Team up with friends in multiplayer modes or experience the gripping single-player campaign as you battle against a ruthless enemy threat.",English,872,"Realistic, Story Rich, Visual Novel",18
32,Call of Duty: WWII,Shooter,2017-11-3,"Experience intense World War II combat in Call of Duty: WWII. Engage in fast-paced multiplayer battles across iconic locations, or embark on a gripping single-player campaign following the story of a young soldier in the Allied forces. Customize your loadouts and fight for victory in this critically acclaimed shooter.","Chinese, English, French, Japanese, Korean, Spanish",1334,"Choices Matter, Story Rich, Fantasy, Tactical, Multiple Endings",0
33,Call of Duty: World at War,Shooter,2008-11-10,"Call of Duty: World at War' is a first-person shooter game set during World War II, where players engage in intense combat across various campaigns and multiplayer modes. Experience the gritty and brutal realities of war as you fight against enemies in iconic battles of the era.","English, Japanese",163,"Family Friendly, Sandbox, Tactical",18
34,Carnival Games,Misc,2007-8-28,"Step right up and test your skills in a variety of classic carnival games! From ring toss to balloon darts, compete against friends and family to see who can win the most prizes. Enjoy the fun and excitement of the carnival without leaving your living room.","English, Japanese",125,"Crafting, Casual, Co-op, Action RPG, Multiple Endings",0
35,Club Penguin: Elite Penguin Force,Adventure,2008-11-25,"Join the Elite Penguin Force and embark on exciting missions to save Club Penguin Island from various threats. Use your wits, skills, and gadgets to solve puzzles, uncover secrets, and defeat enemies in this fun-filled adventure game for all ages.",English,70,"Co-op, Family Friendly, Horror",0
36,Cooking Mama,Simulation,2006-9-12,"Become a culinary master in Cooking Mama! Follow step-by-step instructions to prepare delicious dishes from around the world. Chop, stir, and saut_ your way to success as you unlock new recipes and perfect your cooking skills.","French, German",123,"First-Person Shooter, Survival, Puzzle, Platformer",10
37,Cooking Mama 2: Dinner With Friends,Simulation,2007-11-13,"Prepare and cook delicious meals with Mama and her friends in this fun and interactive cooking simulation game. Follow recipes, chop ingredients, and perfect your culinary skills to impress your virtual dinner guests. Enjoy multiplayer modes for even more cooking fun with friends!","English, Japanese",77,"Horror, Racing, Realistic, Casual, Sandbox",16
38,Crash Bandicoot N. Sane Trilogy,Platform,2017-6-30,"Join Crash Bandicoot on his adventures through three classic games remastered in stunning HD. Run, jump, and spin your way through colorful levels filled with enemies and obstacles. Can you help Crash save the day and defeat the evil Dr. Neo Cortex?",German,132,"Adventure, Third-Person, Relaxing",0
39,Crash Bandicoot: The Wrath of Cortex,Platform,2001-10-29,"Embark on a wild adventure with Crash Bandicoot as he battles against the evil schemes of Dr. Cortex in this thrilling platform game. Jump, spin, and smash your way through challenging levels to save the world from destruction.","English, Japanese, Korean",128,"Sci-Fi, Tactical, Multiple Endings",18
40,Crash Bash,Misc,2000-11-6,Crash Bash is a multiplayer party game where players compete in various mini-games and challenges. Choose from popular Crash Bandicoot characters and battle it out in fast-paced action-packed gameplay.,English,142,"Racing, Story Rich, Multiplayer",0
41,Crash Team Racing,Racing,1999-9-30,"Race against friends in Crash Team Racing, a high-speed kart racing game where players can power up with weapons and boosts to outmaneuver opponents. Choose from a variety of characters from the Crash Bandicoot universe and compete in thrilling races to become the ultimate champion.","Japanese, Spanish",114,"Fantasy, Strategy, Open World, Puzzle",10
42,Destiny,Shooter,2014-9-9,"Destiny' is a fast-paced shooter game where players are tasked with saving humanity from alien threats. With a variety of weapons, abilities, and missions to conquer, players must work together in co-op gameplay to defeat powerful enemies and uncover the secrets of the universe.","Chinese, English",257,"Action RPG, Tactical, Fantasy, Strategy",10
43,Destiny 2,Shooter,2017-9-6,"Destiny 2 is a fast-paced multiplayer shooter game set in a futuristic world where players must battle against alien forces to protect humanity. With a variety of weapons, abilities, and cooperative gameplay, players can team up to conquer challenging missions and explore vast, immersive worlds.",English,91,"Car Simulation, First-Person Shooter, Platformer, Turn-based Combat",0
44,Doom II,Shooter,1994-9-30,"""Doom II is a classic first-person shooter where players must battle through hordes of demons and monsters to save Earth from destruction. With intense gameplay, gruesome enemies, and a wide array of weapons, this game is sure to test your skills and reflexes.""","French, Japanese, Spanish",103,"Turn-based Combat, Sci-Fi, Action RPG",16
45,Driver,Action,1999-6-30,"In 'Driver', players take on the role of an undercover cop tasked with infiltrating and taking down a notorious crime syndicate. With high-speed chases, intense car battles, and thrilling heists, players must outmaneuver the criminals and bring them to justice.","English, Japanese",128,"Strategy, Multiple Endings, Crafting, First-Person Shooter, Open World",0
46,Driver 2,Action,2000-11-13,"In Driver 2, players take on the role of an undercover cop infiltrating a criminal organization. With intense car chases, thrilling missions, and a vast open-world environment to explore, players must outsmart their enemies and bring justice to the city.","Chinese, German, Spanish",105,"Casual, Co-op, Roguelike, Choices Matter, Crafting",0
47,Enter the Matrix,Action,2003-5-14,"Navigate a virtual world as hacker Neo or Trinity in this action-packed game based on the hit film franchise. Master martial arts, gunplay, and bullet time to defeat enemies and unravel the mysteries of the Matrix. Choose your path wisely, as your decisions will shape the outcome of the story.","English, French, Korean, Spanish",232,"Visual Novel, Car Simulation, Story Rich, Multiplayer, Multiple Endings",0
48,FIFA 07 Soccer,Sports,2006-10-3,"Experience the thrill of soccer with FIFA 07 Soccer. Play as your favorite teams and compete in realistic matches filled with intense gameplay, stunning graphics, and authentic player movements. Master the art of passing, shooting, and goalkeeping to become a soccer legend.","English, Japanese",174,"Fantasy, Multiple Endings, Relaxing, Action RPG",16
49,FIFA 13,Sports,2012-9-25,"FIFA 13 is a popular soccer video game that features realistic gameplay, graphics, and player movements. Players can compete in various game modes, such as Career Mode and Ultimate Team, as well as online matches. Experience the thrill of scoring goals and leading your team to victory in this immersive sports game.","Chinese, English, German",189,"Multiple Endings, First-Person Shooter, Survival",10
50,FIFA 14,Sports,2013-9-24,"Experience the thrill of soccer with FIFA 14. Choose your favorite team, compete in realistic matches, and strategize to become the ultimate champion. With improved graphics and gameplay, this game will keep you on the edge of your seat as you score goals and make epic saves.","English, Japanese, Korean, Spanish",426,"Realistic, Action RPG, Exploration, Open World, Multiple Endings",10
51,FIFA 15,Sports,2014-9-23,"FIFA 15 is a realistic soccer simulation game that features improved graphics, gameplay mechanics, and player AI. Compete in various modes including Career, Ultimate Team, and Online Seasons to experience the thrill of soccer like never before.","Chinese, English, French, German, Japanese, Korean, Spanish",387,"First-Person Shooter, Realistic, Action RPG, Exploration",18
52,FIFA 16,Sports,2015-9-22,"FIFA 16 is a highly realistic soccer simulation game, featuring improved gameplay mechanics, graphics, and player animations. With enhanced AI intelligence and new game modes, players can experience the excitement of leading their favorite teams to victory on the virtual pitch.","German, Japanese, Korean, Spanish",342,"Visual Novel, Roguelike, Sci-Fi, Car Simulation",0
53,FIFA 17,Sports,2016-9-27,"FIFA 17 is a soccer simulation game that allows players to experience the excitement and intensity of professional soccer matches. With realistic gameplay and graphics, players can control their favorite teams and compete in various modes, including online multiplayer and career mode.","Chinese, English, French, Japanese, Korean, Spanish",295,"Turn-based Combat, Survival, Realistic",10
54,FIFA 18,Sports,2017-9-29,"FIFA 18 is a popular soccer simulation game that allows players to control their favorite teams and compete in realistic matches. With updated graphics and gameplay mechanics, players can experience the thrill of scoring goals and winning championships in this immersive sports game.","Chinese, English, French, German, Spanish",389,"Strategy, Third-Person, Racing",0
55,FIFA 19,Sports,2018-9-28,"Experience the thrill of soccer like never before in FIFA 19. With realistic gameplay, stunning graphics, and new features like the UEFA Champions League, this game brings the excitement of the beautiful game to life. Compete against friends or online in the ultimate soccer simulation.","French, German, Japanese, Spanish",187,"Tactical, Sandbox, Roguelike",18
56,FIFA Soccer 06,Sports,2005-10-4,"Experience the thrill of soccer like never before in FIFA Soccer 06. Play as your favorite teams and compete in intense matches to become the ultimate champion. With realistic gameplay and stunning graphics, this game will keep you on the edge of your seat until the final whistle blows.","German, Spanish",134,"Tactical, Realistic, Puzzle, Racing",0
57,FIFA Soccer 08,Sports,2007-10-9,"Immerse yourself in the world of professional soccer with FIFA Soccer 08. Experience realistic gameplay, authentic teams, and thrilling matches as you compete for glory on the pitch. Master skills, tactics, and strategy to dominate the competition and lead your team to victory.","English, Japanese",73,"Fantasy, Horror, Third-Person, Adventure, Exploration",0
58,FIFA Soccer 10,Sports,2009-10-20,"FIFA Soccer 10' is a realistic and immersive soccer simulation game that allows players to control their favorite teams and players on the field. With improved gameplay mechanics and graphics, experience the excitement of scoring goals, making strategic plays, and competing in various game modes.",English,180,"Casual, Survival, Exploration, Tactical",0
59,FIFA Soccer 11,Sports,2010-9-28,"Compete in realistic soccer matches with FIFA Soccer 11. Build your ultimate team, experience authentic gameplay, and lead your club to victory in various game modes. Master your skills on the field and dominate the competition in this thrilling sports game.","Chinese, French, German, Japanese, Korean, Spanish",176,"Open World, Casual, Action RPG",16
60,FIFA Soccer 12,Sports,2011-9-27,"Experience the most authentic soccer gameplay yet in FIFA Soccer 12. With improved player AI, realistic ball physics, and enhanced graphics, immerse yourself in the beautiful game like never before. Compete in various modes, including Career, Ultimate Team, and online multiplayer, to become a soccer legend.",English,230,"Survival, Action RPG, Co-op, Horror",18
61,FIFA Soccer 2003,Sports,2002-11-14,"Experience the thrilling world of soccer with FIFA Soccer 2003. Enjoy realistic gameplay, stunning graphics, and immersive sound effects as you compete in intense matches. With a wide selection of teams and players to choose from, this game brings the excitement of the beautiful game to your fingertips.","German, Spanish",73,"Visual Novel, Action RPG, Platformer",0
62,FIFA Soccer 2004,Sports,2003-11-4,"""FIFA Soccer 2004 offers realistic gameplay, advanced AI, and improved graphics. Compete in various leagues and tournaments with your favorite teams and players. Experience the thrill of scoring goals and winning matches in this highly acclaimed soccer simulation game.""","Chinese, German, Japanese, Spanish",187,"Survival, Platformer, Crafting, Relaxing",10
63,FIFA Soccer 2005,Sports,2004-10-12,"Experience the ultimate soccer simulation with FIFA Soccer 2005. Take control of your favorite teams and players in realistic matches, complete with detailed graphics and authentic gameplay mechanics. Compete in various modes and tournaments to become the ultimate champion on the pitch.","English, Japanese",189,"Crafting, Car Simulation, Platformer",16
64,Fable III,Role-Playing,2010-10-26,"In Fable III, players embark on a quest to overthrow a tyrannical ruler and become the hero of Albion. Make moral choices, build alliances, and shape the destiny of the kingdom in this immersive RPG experience.",English,192,"Car Simulation, Multiplayer, Co-op, Fantasy, Adventure",10
65,Fallout 3,Role-Playing,2008-10-28,"In Fallout 3, explore the post-apocalyptic wasteland of Washington D.C. as the Lone Wanderer, searching for your missing father and battling mutants, raiders, and other dangers. Make choices that impact the world around you and determine the fate of the Capital Wasteland.","English, Japanese, Korean, Spanish",349,"Realistic, Turn-based Combat, Strategy, Third-Person, Family Friendly",0
66,Fallout 4,Role-Playing,2015-11-10,"In Fallout 4, players navigate a post-apocalyptic world filled with mutated creatures, factions, and moral choices. Customize your character, build settlements, and engage in intense combat as you uncover the secrets of a nuclear wasteland.","English, French, German, Japanese, Korean, Spanish",396,"Open World, Casual, Adventure, Multiplayer, Family Friendly",16
67,Fallout: New Vegas,Role-Playing,2010-10-19,"""Fallout: New Vegas"" is a post-apocalyptic RPG set in the Mojave Wasteland. Players navigate a treacherous landscape filled with mutated creatures, rival factions, and moral dilemmas. With a branching storyline and deep character customization, every choice impacts the outcome of the game.","English, German, Japanese, Korean, Spanish",89,"Puzzle, Crafting, Sandbox",18
68,Far Cry 3,Shooter,2012-12-4,"Explore a lush tropical island filled with danger and adventure in Far Cry 3. Survive against ruthless pirates, wild animals, and hostile locals as you uncover the secrets of the island and rescue your friends. Master a variety of weapons and tactics in this intense first-person shooter.","Chinese, English, Japanese",132,"Multiple Endings, Survival, Strategy",18
69,Far Cry 4,Shooter,2014-11-18,"Embark on a thrilling adventure in the Himalayan mountains as you battle against a tyrannical dictator in Far Cry 4. Explore a vast open world, engage in intense firefights, and make strategic decisions that will shape the fate of Kyrat.","English, Japanese",143,"Relaxing, Visual Novel, Sandbox",0
70,Far Cry 5,Action,2018-3-27,"In Far Cry 5, players must navigate the dangerous and unpredictable world of Hope County, Montana, as they fight to liberate the community from a violent cult. With intense gunfights, thrilling missions, and stunning visuals, players must use their skills and wits to survive and take down the cult's leaders.","English, Japanese",94,"Casual, Action RPG, Realistic, Horror",18
71,Final Fantasy XIII,Role-Playing,2010-3-9,"Embark on a thrilling adventure in Final Fantasy XIII, a dynamic RPG where players control a group of diverse characters with unique abilities. Uncover the mysteries of the futuristic world of Cocoon as you battle against powerful enemies and unravel the fate of the world.","Chinese, French, German, Japanese",194,"Survival, Roguelike, Fantasy, Puzzle, Sci-Fi",0
72,Final Fantasy XV,Role-Playing,2016-11-29,"""Embark on a breathtaking journey as Prince Noctis and his friends to reclaim their kingdom from the clutches of evil. Engage in epic battles, explore stunning landscapes, and forge unbreakable bonds in this critically acclaimed RPG adventure.""","English, Japanese",127,"Roguelike, Platformer, Crafting, Survival, Car Simulation",0
73,Forza Motorsport 2,Racing,2007-5-29,"""Forza Motorsport 2 is a high-speed racing game with realistic graphics and physics. Players can customize and race over 300 cars on a variety of tracks. Compete in intense multiplayer races or tackle the challenging career mode to become the ultimate racing champion.""","English, Japanese",84,"Crafting, Family Friendly, Strategy",16
74,Forza Motorsport 3,Racing,2009-10-27,Experience the thrill of high-speed racing in Forza Motorsport 3. Choose from a wide selection of cars and compete in various race tracks around the world. Customize your vehicle and prove your skills on the track in this immersive racing simulation game.,English,272,"Platformer, Choices Matter, Puzzle, Survival",18
75,Forza Motorsport 4,Racing,2011-10-11,"Race against friends or AI opponents in over 500 cars on a variety of tracks in Forza Motorsport 4. Customize and tune your vehicles to perfection, then compete in realistic racing scenarios. Experience stunning graphics and physics in this immersive racing simulation game.","Chinese, Spanish",197,"Visual Novel, Fantasy, Puzzle",16
76,Frogger,Action,1997-9-30,"Navigate a fearless frog through busy streets, rivers, and forests in Frogger. Dodge speeding cars, crocodiles, and other obstacles to safely reach the other side. Test your reflexes and strategic skills in this classic arcade game.",English,118,"Family Friendly, Story Rich, Adventure, Open World, Platformer",0
77,Gears of War 4,Shooter,2016-10-11,"Gears of War 4 is a third-person shooter game set in a post-apocalyptic world where players battle against a new enemy threat. With intense combat, cooperative gameplay, and stunning graphics, players must work together to survive and reclaim their planet from the enemy forces.","German, Japanese",110,"Fantasy, Strategy, Sandbox",16
78,Gran Turismo (PSP),Racing,2009-10-1,Experience realistic racing action on the go with Gran Turismo for PSP. Choose from a variety of cars and race on iconic tracks around the world. Customize your vehicles and compete in challenging races to become the ultimate champion.,Korean,85,"Story Rich, Strategy, Third-Person, Sandbox",0
79,Grand Theft Auto 2,Action,1999-10-25,"""Grand Theft Auto 2 is a fast-paced action game set in a sprawling city filled with crime and chaos. Players take on the role of a criminal navigating the criminal underworld, completing missions, and battling rival gangs while evading law enforcement.""",English,78,"Fantasy, Open World, Visual Novel",18
80,Grand Theft Auto III,Action,2001-10-23,"In Grand Theft Auto III, players navigate the criminal underworld of Liberty City, completing missions and causing chaos in an open-world environment. With a mix of driving, shooting, and exploration, players must rise through the ranks of organized crime to survive and thrive in this gritty urban landscape.",English,610,"Third-Person, Sandbox, Casual",10
81,Grand Theft Auto IV,Action,2008-4-29,"""Grand Theft Auto IV"" is an open-world action game that follows Eastern European immigrant Niko Bellic as he navigates the criminal underworld of Liberty City. Players can engage in intense shootouts, car chases, and missions while making choices that impact the story's outcome.","Chinese, English, Japanese, Korean, Spanish",471,"Third-Person, Turn-based Combat, Open World, Story Rich, First-Person Shooter",18
82,Grand Theft Auto V,Action,2013-9-17,"In Grand Theft Auto V, players navigate the seedy underworld of Los Santos, a sprawling city filled with crime, heists, and danger. Switch between three diverse protagonists as you engage in high-speed chases, tense shootouts, and daring missions in this action-packed open-world adventure.","English, German, Japanese, Korean, Spanish",1053,"Roguelike, Horror, Car Simulation, Racing",0
83,Grand Theft Auto: Liberty City Stories,Action,2005-10-25,"Embark on a criminal journey through Liberty City in this action-packed game. Play as mobster Toni Cipriani as you rise to power in a city filled with crime and corruption. Complete missions, steal cars, and engage in intense shootouts in this thrilling open-world adventure.","Chinese, Korean, Spanish",587,"Sci-Fi, Strategy, Tactical, First-Person Shooter",18
84,Grand Theft Auto: Vice City,Action,2002-10-28,"In Grand Theft Auto: Vice City, players take on the role of Tommy Vercetti, a criminal seeking revenge in a fictional version of 1980s Miami. Engage in car chases, gunfights, and a sprawling open-world environment filled with missions and side activities. Conquer the criminal underworld and rise to the top.",English,456,"Relaxing, Strategy, Realistic, Horror",16
85,Grand Theft Auto: Vice City Stories,Action,2006-10-31,"Explore the vibrant 1980s world of Vice City as protagonist Victor Vance in this action-packed prequel to Grand Theft Auto: Vice City. Engage in intense shootouts, car chases, and criminal activities as you rise through the ranks of the criminal underworld.","Japanese, Spanish",485,"Puzzle, Survival, Sci-Fi",18
86,Guitar Hero II,Misc,2006-11-7,"Rock out with Guitar Hero II, the ultimate music rhythm game! Strum along to classic rock hits and modern jams as you master the guitar controller and earn high scores. With a variety of difficulty levels and multiplayer modes, this game is perfect for music lovers of all skill levels.","English, Japanese",133,"Roguelike, Puzzle, Visual Novel, Family Friendly",10
87,Guitar Hero III: Legends of Rock,Misc,2007-10-28,"Become a rock legend in Guitar Hero III: Legends of Rock. Jam out to over 70 songs from iconic bands as you shred your way through challenging guitar solos. Compete against friends in multiplayer mode and unlock new tracks, characters, and guitars to customize your rockstar experience.","English, Japanese",117,"Tactical, Roguelike, Horror, Exploration, Realistic",18
88,Guitar Hero: On Tour,Misc,2008-6-22,Rock out on the go with Guitar Hero: On Tour. Strum your way through hit songs using the Nintendo DS touch screen and included guitar grip accessory. Master challenging levels and compete in multiplayer modes for ultimate guitar glory.,English,71,"Puzzle, Car Simulation, Tactical",0
