GameID,AchievementID,Name,Description
25,67,Call of Duty: Black Ops 3 Master #8,Find all hidden items in the game.
25,68,Explorer #9,Find all hidden items in the game.
25,69,Unstoppable #10,Find all hidden items in the game.
25,70,Survivor #11,Complete the main story of Call of Duty: Black Ops 3.
25,71,Completionist #12,Collect all collectibles.
25,72,Survivor #13,Finish the game on hard difficulty.
25,73,Legend Begins #14,Find all hidden items in the game.
31,74,Unstoppable #1,Collect all collectibles.
31,75,Call of Duty: Modern Warfare 3 Master #2,Complete a mission without taking damage.
31,76,Completionist #3,Find all hidden items in the game.
31,77,Secret Finder #4,Achieve top rank in a Shooter mode.
31,78,Explorer #5,Find all hidden items in the game.
31,79,Secret Finder #6,Achieve top rank in a Shooter mode.
31,80,Shooter Champion #7,Win your first challenge.
31,81,First Victory #8,Complete a mission without taking damage.
31,82,Survivor #9,Collect all collectibles.
31,83,Call of Duty: Modern Warfare 3 Master #10,Win your first challenge.
31,84,Completionist #11,Win your first challenge.
31,85,Call of Duty: Modern Warfare 3 Master #12,Unlock all characters.
31,86,Legend Begins #13,Complete a mission without taking damage.
31,87,Unstoppable #14,Find all hidden items in the game.
31,88,Secret Finder #15,Unlock all characters.
31,89,Completionist #16,Find all hidden items in the game.
31,90,Speed Runner #17,Finish the game on hard difficulty.
31,91,Call of Duty: Modern Warfare 3 Master #18,Achieve top rank in a Shooter mode.
31,92,Call of Duty: Modern Warfare 3 Master #19,Finish the game on hard difficulty.
31,93,Call of Duty: Modern Warfare 3 Master #20,Win your first challenge.
31,94,Completionist #21,Collect all collectibles.
24,95,Speed Runner #1,Achieve top rank in a Shooter mode.
24,96,Speed Runner #2,Unlock all characters.
24,97,Call of Duty: Black Ops Master #3,Finish the game on hard difficulty.
24,98,Call of Duty: Black Ops Master #4,Win your first challenge.
24,99,Speed Runner #5,Unlock all characters.
24,100,Completionist #6,Unlock all characters.
24,101,First Victory #7,Find all hidden items in the game.
24,102,Unstoppable #8,Achieve top rank in a Shooter mode.
24,103,Call of Duty: Black Ops Master #9,Collect all collectibles.
24,104,Shooter Champion #10,Play the game for 100 hours.
24,105,Legend Begins #11,Find all hidden items in the game.
24,106,Legend Begins #12,Find all hidden items in the game.
24,107,Legend Begins #13,Beat the secret boss.
24,108,Speed Runner #14,Win your first challenge.
146,109,Survivor #1,Play the game for 100 hours.
146,110,Speed Runner #2,Collect all collectibles.
146,111,First Victory #3,Collect all collectibles.
146,112,Action-Adventure Champion #4,Collect all collectibles.
146,113,Red Dead Redemption 2 Master #5,Unlock all characters.
146,114,Secret Finder #6,Finish the game on hard difficulty.
146,115,Secret Finder #7,Complete the main story of Red Dead Redemption 2.
146,116,Action-Adventure Champion #8,Play the game for 100 hours.
146,117,Speed Runner #9,Win your first challenge.
146,118,Legend Begins #10,Play the game for 100 hours.
146,119,Explorer #11,Play the game for 100 hours.
146,120,Speed Runner #12,Find all hidden items in the game.
146,121,Survivor #13,Collect all collectibles.
146,122,Secret Finder #14,Complete the main story of Red Dead Redemption 2.
146,123,Secret Finder #15,Finish the game on hard difficulty.
146,124,Speed Runner #16,Complete the main story of Red Dead Redemption 2.
26,125,Secret Finder #1,Unlock all characters.
26,126,Completionist #2,Beat the secret boss.
26,127,Completionist #3,Unlock all characters.
26,128,Legend Begins #4,Unlock all characters.
26,129,Survivor #5,Achieve top rank in a Shooter mode.
26,130,Unstoppable #6,Win your first challenge.
26,131,Completionist #7,Collect all collectibles.
26,132,Explorer #8,Win your first challenge.
26,133,Legend Begins #9,Collect all collectibles.
26,134,Completionist #10,Find all hidden items in the game.
26,135,Call of Duty: Black Ops II Master #11,Play the game for 100 hours.
26,136,Survivor #12,Finish the game on hard difficulty.
26,137,Completionist #13,Win your first challenge.
26,138,Unstoppable #14,Find all hidden items in the game.
26,139,Explorer #15,Complete a mission without taking damage.
26,140,Survivor #16,Unlock all characters.
26,141,Completionist #17,Find all hidden items in the game.
26,142,Survivor #18,Achieve top rank in a Shooter mode.
26,143,Secret Finder #19,Collect all collectibles.
26,144,Secret Finder #20,Finish the game on hard difficulty.
26,145,Explorer #21,Find all hidden items in the game.
26,146,Speed Runner #22,Win your first challenge.
26,147,Completionist #23,Complete a mission without taking damage.
26,148,Secret Finder #24,Collect all collectibles.
26,149,Shooter Champion #25,Achieve top rank in a Shooter mode.
26,150,Completionist #26,Complete the main story of Call of Duty: Black Ops II.
26,151,Unstoppable #27,Play the game for 100 hours.
26,152,Explorer #28,Unlock all characters.
26,153,First Victory #29,Complete a mission without taking damage.
26,154,First Victory #1,Play the game for 100 hours.
26,155,Unstoppable #2,Finish the game on hard difficulty.
26,156,Legend Begins #3,Achieve top rank in a Shooter mode.
26,157,Completionist #4,Play the game for 100 hours.
26,158,Call of Duty: Black Ops II Master #5,Achieve top rank in a Shooter mode.
26,159,Secret Finder #6,Finish the game on hard difficulty.
26,160,Legend Begins #7,Complete the main story of Call of Duty: Black Ops II.
26,161,Speed Runner #8,Complete a mission without taking damage.
26,162,Speed Runner #9,Complete a mission without taking damage.
26,163,Explorer #10,Play the game for 100 hours.
26,164,Explorer #11,Unlock all characters.
26,165,Completionist #12,Unlock all characters.
26,166,Secret Finder #13,Beat the secret boss.
26,167,Unstoppable #14,Find all hidden items in the game.
26,168,Speed Runner #15,Play the game for 100 hours.
26,169,Explorer #16,Win your first challenge.
26,170,Explorer #17,Find all hidden items in the game.
26,171,First Victory #18,Play the game for 100 hours.
30,172,Unstoppable #1,Beat the secret boss.
30,173,Legend Begins #2,Collect all collectibles.
30,174,Secret Finder #3,Complete the main story of Call of Duty: Modern Warfare 2.
30,175,Unstoppable #4,Achieve top rank in a Shooter mode.
30,176,Secret Finder #5,Find all hidden items in the game.
30,177,Survivor #6,Find all hidden items in the game.
30,178,Completionist #7,Complete the main story of Call of Duty: Modern Warfare 2.
30,179,Completionist #8,Win your first challenge.
30,180,Secret Finder #9,Play the game for 100 hours.
30,181,Secret Finder #10,Find all hidden items in the game.
30,182,Survivor #11,Collect all collectibles.
30,183,Unstoppable #12,Complete the main story of Call of Duty: Modern Warfare 2.
30,184,Call of Duty: Modern Warfare 2 Master #13,Play the game for 100 hours.
30,185,Speed Runner #14,Find all hidden items in the game.
30,186,Shooter Champion #15,Finish the game on hard difficulty.
30,187,Secret Finder #16,Unlock all characters.
30,188,First Victory #17,Achieve top rank in a Shooter mode.
30,189,First Victory #18,Complete a mission without taking damage.
30,190,First Victory #19,Achieve top rank in a Shooter mode.
30,191,Shooter Champion #20,Win your first challenge.
30,192,Shooter Champion #21,Complete a mission without taking damage.
30,193,Secret Finder #22,Collect all collectibles.
30,194,Completionist #23,Beat the secret boss.
30,195,Unstoppable #24,Collect all collectibles.
30,196,Unstoppable #25,Complete a mission without taking damage.
30,197,Legend Begins #26,Win your first challenge.
32,198,Speed Runner #1,Play the game for 100 hours.
32,199,Secret Finder #2,Complete a mission without taking damage.
32,200,Unstoppable #3,Finish the game on hard difficulty.
32,201,Unstoppable #4,Unlock all characters.
32,202,Explorer #5,Achieve top rank in a Shooter mode.
32,203,Completionist #6,Collect all collectibles.
32,204,Completionist #7,Unlock all characters.
32,205,Call of Duty: WWII Master #8,Collect all collectibles.
32,206,Secret Finder #9,Achieve top rank in a Shooter mode.
32,207,Legend Begins #10,Complete a mission without taking damage.
32,208,First Victory #11,Find all hidden items in the game.
32,209,Legend Begins #12,Unlock all characters.
32,210,Survivor #13,Find all hidden items in the game.
31,211,Secret Finder #1,Find all hidden items in the game.
31,212,Secret Finder #2,Achieve top rank in a Shooter mode.
31,213,Unstoppable #3,Finish the game on hard difficulty.
31,214,Completionist #4,Complete the main story of Call of Duty: Modern Warfare 3.
31,215,Shooter Champion #5,Collect all collectibles.
31,216,Explorer #6,Beat the secret boss.
31,217,Completionist #7,Find all hidden items in the game.
31,218,Completionist #8,Beat the secret boss.
31,219,Explorer #9,Achieve top rank in a Shooter mode.
31,220,Legend Begins #10,Complete the main story of Call of Duty: Modern Warfare 3.
31,221,Survivor #11,Complete the main story of Call of Duty: Modern Warfare 3.
31,222,First Victory #12,Finish the game on hard difficulty.
80,223,Survivor #1,Collect all collectibles.
80,224,Grand Theft Auto III Master #2,Find all hidden items in the game.
80,225,Explorer #3,Complete the main story of Grand Theft Auto III.
80,226,Action Champion #4,Complete a mission without taking damage.
80,227,Explorer #5,Beat the secret boss.
80,228,Unstoppable #6,Finish the game on hard difficulty.
80,229,Legend Begins #7,Unlock all characters.
80,230,Explorer #8,Complete a mission without taking damage.
80,231,Unstoppable #9,Complete the main story of Grand Theft Auto III.
80,232,Unstoppable #10,Finish the game on hard difficulty.
80,233,Explorer #11,Achieve top rank in a Action mode.
80,234,Speed Runner #12,Unlock all characters.
80,235,Legend Begins #13,Collect all collectibles.
80,236,Completionist #14,Find all hidden items in the game.
80,237,First Victory #15,Unlock all characters.
80,238,Explorer #16,Complete the main story of Grand Theft Auto III.
80,239,Survivor #17,Finish the game on hard difficulty.
80,240,Grand Theft Auto III Master #18,Unlock all characters.
80,241,Explorer #19,Unlock all characters.
80,242,Legend Begins #20,Complete the main story of Grand Theft Auto III.
80,243,Legend Begins #21,Unlock all characters.
80,244,Legend Begins #22,Play the game for 100 hours.
80,245,Speed Runner #23,Complete the main story of Grand Theft Auto III.
80,246,Explorer #24,Play the game for 100 hours.
24,247,Call of Duty: Black Ops Master #1,Win your first challenge.
24,248,Survivor #2,Find all hidden items in the game.
24,249,Completionist #3,Find all hidden items in the game.
24,250,Shooter Champion #4,Finish the game on hard difficulty.
24,251,Unstoppable #5,Play the game for 100 hours.
24,252,Shooter Champion #6,Complete a mission without taking damage.
24,253,Explorer #7,Unlock all characters.
24,254,Legend Begins #8,Beat the secret boss.
24,255,Survivor #9,Play the game for 100 hours.
24,256,Shooter Champion #10,Achieve top rank in a Shooter mode.
24,257,Speed Runner #11,Finish the game on hard difficulty.
24,258,Legend Begins #12,Complete the main story of Call of Duty: Black Ops.
24,259,Unstoppable #13,Collect all collectibles.
24,260,Unstoppable #14,Unlock all characters.
54,261,First Victory #1,Finish the game on hard difficulty.
54,262,Secret Finder #2,Win your first challenge.
54,263,Sports Champion #3,Find all hidden items in the game.
54,264,Secret Finder #4,Win your first challenge.
54,265,Explorer #5,Play the game for 100 hours.
54,266,Legend Begins #6,Win your first challenge.
54,267,Secret Finder #7,Find all hidden items in the game.
54,268,Legend Begins #8,Collect all collectibles.
54,269,Explorer #9,Collect all collectibles.
54,270,Completionist #10,Complete the main story of FIFA 18.
54,271,Legend Begins #11,Complete the main story of FIFA 18.
54,272,First Victory #12,Complete the main story of FIFA 18.
54,273,Survivor #13,Beat the secret boss.
54,274,First Victory #14,Win your first challenge.
54,275,First Victory #15,Complete the main story of FIFA 18.
54,276,Explorer #16,Play the game for 100 hours.
54,277,FIFA 18 Master #17,Achieve top rank in a Sports mode.
54,278,Legend Begins #18,Collect all collectibles.
54,279,Completionist #19,Finish the game on hard difficulty.
54,280,Explorer #20,Beat the secret boss.
54,281,First Victory #21,Finish the game on hard difficulty.
54,282,FIFA 18 Master #22,Win your first challenge.
54,283,Legend Begins #23,Complete a mission without taking damage.
54,284,Legend Begins #24,Complete the main story of FIFA 18.
54,285,Explorer #25,Find all hidden items in the game.
54,286,Completionist #26,Find all hidden items in the game.
54,287,Legend Begins #27,Win your first challenge.
81,288,Secret Finder #1,Achieve top rank in a Action mode.
81,289,Unstoppable #2,Find all hidden items in the game.
81,290,Secret Finder #3,Achieve top rank in a Action mode.
81,291,Secret Finder #4,Play the game for 100 hours.
81,292,Speed Runner #5,Win your first challenge.
81,293,Speed Runner #6,Unlock all characters.
81,294,First Victory #7,Beat the secret boss.
81,295,Action Champion #8,Find all hidden items in the game.
81,296,Unstoppable #9,Win your first challenge.
81,297,Explorer #10,Complete the main story of Grand Theft Auto IV.
81,298,Unstoppable #11,Complete the main story of Grand Theft Auto IV.
81,299,First Victory #12,Complete the main story of Grand Theft Auto IV.
81,300,Action Champion #13,Collect all collectibles.
81,301,First Victory #14,Beat the secret boss.
81,302,Grand Theft Auto IV Master #15,Win your first challenge.
81,303,First Victory #16,Find all hidden items in the game.
81,304,Explorer #17,Unlock all characters.
81,305,Completionist #18,Finish the game on hard difficulty.
81,306,Speed Runner #19,Achieve top rank in a Action mode.
81,307,First Victory #20,Complete a mission without taking damage.
81,308,Survivor #21,Beat the secret boss.
81,309,Survivor #22,Complete a mission without taking damage.
81,310,First Victory #23,Finish the game on hard difficulty.
81,311,Survivor #24,Play the game for 100 hours.
81,312,Completionist #25,Win your first challenge.
81,313,Survivor #26,Complete a mission without taking damage.
81,314,First Victory #27,Collect all collectibles.
81,315,First Victory #28,Collect all collectibles.
53,316,Survivor #1,Find all hidden items in the game.
53,317,Secret Finder #2,Complete a mission without taking damage.
53,318,FIFA 17 Master #3,Complete a mission without taking damage.
53,319,Speed Runner #4,Complete the main story of FIFA 17.
53,320,Survivor #5,Complete the main story of FIFA 17.
53,321,Completionist #6,Finish the game on hard difficulty.
53,322,Survivor #7,Find all hidden items in the game.
53,323,Completionist #8,Collect all collectibles.
53,324,FIFA 17 Master #9,Complete the main story of FIFA 17.
53,325,First Victory #10,Find all hidden items in the game.
53,326,Survivor #11,Complete a mission without taking damage.
53,327,Legend Begins #12,Find all hidden items in the game.
53,328,First Victory #13,Find all hidden items in the game.
53,329,Survivor #14,Win your first challenge.
53,330,Completionist #15,Complete the main story of FIFA 17.
53,331,Secret Finder #16,Achieve top rank in a Sports mode.
53,332,Unstoppable #17,Unlock all characters.
53,333,Legend Begins #18,Unlock all characters.
53,334,Unstoppable #19,Win your first challenge.
53,335,Legend Begins #20,Find all hidden items in the game.
53,336,Secret Finder #21,Achieve top rank in a Sports mode.
53,337,Completionist #22,Complete a mission without taking damage.
53,338,Survivor #23,Find all hidden items in the game.
30,339,Explorer #1,Complete a mission without taking damage.
30,340,Speed Runner #2,Finish the game on hard difficulty.
30,341,Completionist #3,Collect all collectibles.
30,342,Call of Duty: Modern Warfare 2 Master #4,Complete a mission without taking damage.
30,343,Completionist #5,Unlock all characters.
30,344,Speed Runner #6,Beat the secret boss.
30,345,Unstoppable #7,Beat the secret boss.
30,346,Legend Begins #8,Complete the main story of Call of Duty: Modern Warfare 2.
30,347,Secret Finder #9,Complete a mission without taking damage.
30,348,Completionist #10,Finish the game on hard difficulty.
30,349,Shooter Champion #11,Collect all collectibles.
30,350,Legend Begins #12,Win your first challenge.
30,351,Speed Runner #13,Find all hidden items in the game.
81,352,Secret Finder #1,Win your first challenge.
81,353,Completionist #2,Finish the game on hard difficulty.
81,354,Grand Theft Auto IV Master #3,Complete the main story of Grand Theft Auto IV.
81,355,Action Champion #4,Finish the game on hard difficulty.
81,356,Survivor #5,Unlock all characters.
81,357,Grand Theft Auto IV Master #6,Achieve top rank in a Action mode.
81,358,Secret Finder #7,Finish the game on hard difficulty.
81,359,Unstoppable #8,Complete a mission without taking damage.
81,360,First Victory #9,Play the game for 100 hours.
81,361,First Victory #10,Unlock all characters.
81,362,Legend Begins #11,Achieve top rank in a Action mode.
81,363,Completionist #12,Unlock all characters.
81,364,Speed Runner #13,Complete a mission without taking damage.
81,365,Explorer #14,Find all hidden items in the game.
81,366,Secret Finder #15,Find all hidden items in the game.
81,367,Secret Finder #16,Complete the main story of Grand Theft Auto IV.
81,368,Speed Runner #17,Finish the game on hard difficulty.
81,369,Speed Runner #18,Beat the secret boss.
81,370,Speed Runner #19,Complete a mission without taking damage.
81,371,Survivor #20,Unlock all characters.
28,372,Completionist #1,Finish the game on hard difficulty.
28,373,Speed Runner #2,Finish the game on hard difficulty.
28,374,Speed Runner #3,Play the game for 100 hours.
28,375,Completionist #4,Play the game for 100 hours.
28,376,Explorer #5,Unlock all characters.
28,377,Legend Begins #6,Unlock all characters.
28,378,Unstoppable #7,Find all hidden items in the game.
28,379,Shooter Champion #8,Unlock all characters.
28,380,Survivor #9,Achieve top rank in a Shooter mode.
28,381,Secret Finder #10,Unlock all characters.
28,382,Completionist #11,Complete the main story of Call of Duty: Ghosts.
28,383,Speed Runner #12,Play the game for 100 hours.
28,384,Shooter Champion #13,Win your first challenge.
28,385,First Victory #14,Complete the main story of Call of Duty: Ghosts.
28,386,Legend Begins #15,Play the game for 100 hours.
28,387,Speed Runner #16,Complete a mission without taking damage.
28,388,Completionist #17,Find all hidden items in the game.
28,389,Shooter Champion #18,Complete a mission without taking damage.
28,390,Explorer #19,Unlock all characters.
28,391,Shooter Champion #20,Play the game for 100 hours.
28,392,Unstoppable #1,Complete a mission without taking damage.
28,393,Explorer #2,Collect all collectibles.
28,394,Survivor #3,Achieve top rank in a Shooter mode.
28,395,Legend Begins #4,Complete the main story of Call of Duty: Ghosts.
28,396,Completionist #5,Beat the secret boss.
28,397,Legend Begins #6,Unlock all characters.
28,398,Secret Finder #7,Complete the main story of Call of Duty: Ghosts.
28,399,Completionist #8,Find all hidden items in the game.
28,400,Completionist #9,Beat the secret boss.
28,401,First Victory #10,Find all hidden items in the game.
28,402,Shooter Champion #11,Beat the secret boss.
28,403,Shooter Champion #12,Beat the secret boss.
28,404,First Victory #13,Find all hidden items in the game.
28,405,Unstoppable #14,Beat the secret boss.
28,406,Unstoppable #15,Play the game for 100 hours.
28,407,Legend Begins #16,Play the game for 100 hours.
28,408,Legend Begins #17,Win your first challenge.
28,409,Unstoppable #18,Find all hidden items in the game.
28,410,Secret Finder #19,Unlock all characters.
28,411,Speed Runner #20,Complete a mission without taking damage.
28,412,Survivor #21,Beat the secret boss.
28,413,Unstoppable #22,Complete the main story of Call of Duty: Ghosts.
28,414,Explorer #23,Beat the secret boss.
28,415,Shooter Champion #24,Win your first challenge.
28,416,Unstoppable #25,Win your first challenge.
91,417,Halo: Reach Master #1,Find all hidden items in the game.
91,418,First Victory #2,Unlock all characters.
91,419,First Victory #3,Collect all collectibles.
91,420,Shooter Champion #4,Complete a mission without taking damage.
91,421,First Victory #5,Achieve top rank in a Shooter mode.
91,422,Unstoppable #6,Complete the main story of Halo: Reach.
91,423,Halo: Reach Master #7,Beat the secret boss.
91,424,Completionist #8,Complete the main story of Halo: Reach.
91,425,Speed Runner #9,Beat the secret boss.
91,426,Shooter Champion #10,Finish the game on hard difficulty.
91,427,First Victory #11,Finish the game on hard difficulty.
91,428,Speed Runner #12,Complete the main story of Halo: Reach.
90,429,Survivor #1,Find all hidden items in the game.
90,430,Completionist #2,Unlock all characters.
90,431,Unstoppable #3,Complete the main story of Halo 4.
90,432,Halo 4 Master #4,Collect all collectibles.
90,433,Legend Begins #5,Achieve top rank in a Shooter mode.
90,434,Explorer #6,Beat the secret boss.
90,435,Explorer #7,Beat the secret boss.
90,436,Halo 4 Master #8,Win your first challenge.
90,437,Legend Begins #9,Complete a mission without taking damage.
90,438,Survivor #10,Complete a mission without taking damage.
90,439,Shooter Champion #11,Achieve top rank in a Shooter mode.
90,440,Legend Begins #12,Unlock all characters.
90,441,Halo 4 Master #13,Achieve top rank in a Shooter mode.
90,442,Shooter Champion #14,Find all hidden items in the game.
90,443,Shooter Champion #15,Complete a mission without taking damage.
90,444,Unstoppable #16,Complete the main story of Halo 4.
90,445,Unstoppable #17,Complete the main story of Halo 4.
90,446,Explorer #18,Find all hidden items in the game.
90,447,Secret Finder #19,Collect all collectibles.
90,448,Survivor #20,Complete the main story of Halo 4.
90,449,Completionist #21,Collect all collectibles.
90,450,Unstoppable #22,Complete the main story of Halo 4.
90,451,Speed Runner #23,Find all hidden items in the game.
90,452,Completionist #24,Beat the secret boss.
90,453,First Victory #25,Finish the game on hard difficulty.
90,454,Speed Runner #26,Complete a mission without taking damage.
90,455,First Victory #27,Finish the game on hard difficulty.
90,456,Unstoppable #28,Complete a mission without taking damage.
22,457,Speed Runner #1,Complete a mission without taking damage.
22,458,Completionist #2,Complete the main story of Call of Duty 4: Modern Warfare.
22,459,Legend Begins #3,Play the game for 100 hours.
22,460,Completionist #4,Achieve top rank in a Shooter mode.
22,461,Survivor #5,Beat the secret boss.
22,462,Explorer #6,Complete the main story of Call of Duty 4: Modern Warfare.
22,463,Unstoppable #7,Beat the secret boss.
22,464,Explorer #8,Unlock all characters.
22,465,Speed Runner #9,Beat the secret boss.
22,466,Secret Finder #10,Unlock all characters.
22,467,Shooter Champion #11,Unlock all characters.
22,468,Speed Runner #12,Achieve top rank in a Shooter mode.
22,469,Shooter Champion #13,Find all hidden items in the game.
22,470,Explorer #14,Play the game for 100 hours.
22,471,Survivor #15,Complete a mission without taking damage.
22,472,Shooter Champion #16,Win your first challenge.
22,473,Shooter Champion #17,Complete a mission without taking damage.
22,474,Explorer #18,Win your first challenge.
22,475,Call of Duty 4: Modern Warfare Master #19,Unlock all characters.
22,476,Survivor #20,Unlock all characters.
22,477,Call of Duty 4: Modern Warfare Master #21,Achieve top rank in a Shooter mode.
27,478,Call of Duty: Black Ops IIII Master #1,Finish the game on hard difficulty.
27,479,Unstoppable #2,Unlock all characters.
27,480,Speed Runner #3,Unlock all characters.
27,481,Shooter Champion #4,Play the game for 100 hours.
27,482,Completionist #5,Collect all collectibles.
27,483,Explorer #6,Achieve top rank in a Shooter mode.
27,484,First Victory #7,Beat the secret boss.
27,485,Secret Finder #8,Collect all collectibles.
27,486,Secret Finder #9,Achieve top rank in a Shooter mode.
27,487,Unstoppable #10,Win your first challenge.
27,488,Shooter Champion #11,Find all hidden items in the game.
27,489,First Victory #12,Beat the secret boss.
27,490,Shooter Champion #13,Collect all collectibles.
27,491,Speed Runner #14,Play the game for 100 hours.
27,492,Completionist #15,Achieve top rank in a Shooter mode.
27,493,Survivor #16,Finish the game on hard difficulty.
55,494,FIFA 19 Master #1,Win your first challenge.
55,495,FIFA 19 Master #2,Play the game for 100 hours.
55,496,FIFA 19 Master #3,Finish the game on hard difficulty.
55,497,Unstoppable #4,Play the game for 100 hours.
55,498,Completionist #5,Collect all collectibles.
55,499,Speed Runner #6,Collect all collectibles.
55,500,Legend Begins #7,Complete the main story of FIFA 19.
55,501,First Victory #8,Complete the main story of FIFA 19.
55,502,FIFA 19 Master #9,Find all hidden items in the game.
55,503,Unstoppable #10,Win your first challenge.
55,504,Secret Finder #11,Complete a mission without taking damage.
55,505,Completionist #12,Play the game for 100 hours.
55,506,Explorer #13,Unlock all characters.
55,507,Survivor #14,Collect all collectibles.
55,508,Speed Runner #15,Play the game for 100 hours.
55,509,FIFA 19 Master #16,Complete a mission without taking damage.
55,510,Secret Finder #17,Unlock all characters.
55,511,Completionist #18,Beat the secret boss.
55,512,Survivor #19,Win your first challenge.
55,513,Speed Runner #20,Win your first challenge.
55,514,Sports Champion #21,Play the game for 100 hours.
55,515,Speed Runner #22,Finish the game on hard difficulty.
55,516,Completionist #23,Find all hidden items in the game.
55,517,Explorer #24,Complete the main story of FIFA 19.
55,518,Completionist #25,Achieve top rank in a Sports mode.
167,519,First Victory #1,Complete a mission without taking damage.
167,520,Unstoppable #2,Complete the main story of The Elder Scrolls V: Skyrim.
167,521,First Victory #3,Complete a mission without taking damage.
167,522,Survivor #4,Collect all collectibles.
167,523,Unstoppable #5,Achieve top rank in a Role-Playing mode.
167,524,Survivor #6,Unlock all characters.
167,525,Secret Finder #7,Unlock all characters.
167,526,Completionist #8,Finish the game on hard difficulty.
167,527,Survivor #9,Collect all collectibles.
167,528,Role-Playing Champion #10,Win your first challenge.
167,529,Explorer #11,Play the game for 100 hours.
167,530,First Victory #12,Complete the main story of The Elder Scrolls V: Skyrim.
167,531,Completionist #13,Collect all collectibles.
167,532,Completionist #14,Achieve top rank in a Role-Playing mode.
167,533,Survivor #15,Finish the game on hard difficulty.
167,534,The Elder Scrolls V: Skyrim Master #16,Achieve top rank in a Role-Playing mode.
167,535,First Victory #17,Beat the secret boss.
167,536,Completionist #18,Win your first challenge.
167,537,Legend Begins #19,Complete a mission without taking damage.
167,538,First Victory #20,Achieve top rank in a Role-Playing mode.
167,539,Unstoppable #21,Finish the game on hard difficulty.
167,540,Legend Begins #22,Unlock all characters.
167,541,Survivor #23,Complete the main story of The Elder Scrolls V: Skyrim.
167,542,Legend Begins #24,Achieve top rank in a Role-Playing mode.
167,543,Role-Playing Champion #25,Complete the main story of The Elder Scrolls V: Skyrim.
167,544,Speed Runner #26,Play the game for 100 hours.
167,545,Survivor #27,Complete a mission without taking damage.
167,546,Completionist #28,Find all hidden items in the game.
167,547,Legend Begins #29,Finish the game on hard difficulty.
167,548,Legend Begins #30,Win your first challenge.
82,549,Grand Theft Auto V Master #1,Win your first challenge.
